StockCode,Description,Quantity,Custo_Unitario,Lucro_Unitario,UnitPrice,v,w,eficiencia
22043,CHRISTMAS CARD SCREEN PRINT ,1068,0.14573684210526314,0.09715789473684212,0.24289473684210527,103.76463157894739,155.64694736842102,0.666666666666667
90123C,GREEN HEART OF GLASS BRACELET,13,3.5699999999999994,2.3800000000000003,5.95,30.940000000000005,46.40999999999999,0.666666666666667
22176,BLUE OWL SOFT TOY,267,1.7699999999999998,1.1800000000000002,2.95,315.06000000000006,472.5899999999999,0.666666666666667
21165,BEWARE OF THE CAT METAL SIGN ,3028,1.005079646017699,0.6700530973451329,1.6751327433628318,2028.9207787610624,3043.3811681415923,0.666666666666667
20725,LUNCH BAG RED RETROSPOT,13394,0.9980557977332168,0.6653705318221448,1.6634263295553617,8911.972903225807,13367.959354838706,0.666666666666667
81952B,ROUND BLUE CLOCK WITH SUCKER,200,0.11399999999999998,0.07600000000000001,0.19,15.200000000000003,22.799999999999994,0.666666666666667
21361,LOVE LARGE WOOD LETTERS ,90,7.629622641509433,5.086415094339624,12.716037735849058,457.77735849056614,686.6660377358489,0.666666666666667
21316,SMALL CHUNKY GLASS ROMAN  BOWL,149,0.9924,0.6616000000000002,1.654,98.57840000000003,147.86759999999998,0.666666666666667
84927F,PSYCHEDELIC TILE HOOK,288,0.4391999999999999,0.29280000000000006,0.732,84.32640000000002,126.48959999999998,0.666666666666667
20767,BLUE PAISLEY JOURNAL ,148,1.5856153846153842,1.0570769230769232,2.6426923076923075,156.44738461538464,234.67107692307687,0.666666666666667
21577,SAVE THE PLANET COTTON TOTE BAG,327,1.3499999999999999,0.9000000000000001,2.25,294.30000000000007,441.44999999999993,0.666666666666667
21395,BLUE POLKADOT BEAKER ,2272,0.23399999999999999,0.15600000000000003,0.39,354.4320000000001,531.6479999999999,0.666666666666667
84251G,"GREETING CARD, OVERCROWDED POOL.",144,0.11399999999999999,0.07600000000000001,0.19000000000000003,10.944000000000003,16.415999999999997,0.666666666666667
22393,PAPERWEIGHT VINTAGE COLLAGE,305,1.2630769230769228,0.8420512820512821,2.105128205128205,256.82564102564106,385.2384615384614,0.666666666666667
20771,CHRYSANTHEMUM  JOURNAL,63,1.5856153846153842,1.0570769230769232,2.6426923076923075,66.59584615384617,99.89376923076921,0.666666666666667
22064,PINK DOUGHNUT TRINKET POT ,1402,0.9811538461538459,0.6541025641025642,1.6352564102564102,917.051794871795,1375.577692307692,0.666666666666667
22115,METAL SIGN EMPIRE TEA,1458,0.9069333333333333,0.6046222222222224,1.5115555555555558,881.5392000000003,1322.3087999999998,0.666666666666667
20801,LARGE PINK GLASS SUNDAE DISH,810,0.5496923076923076,0.36646153846153856,0.9161538461538462,296.83384615384625,445.25076923076915,0.666666666666667
21320,GLASS CHALICE GREEN  LARGE ,180,0.9049090909090908,0.6032727272727274,1.508181818181818,108.58909090909093,162.88363636363633,0.666666666666667
84201B,HAPPY BIRTHDAY CARD STRIPEY TEDDY,13,0.11399999999999999,0.07600000000000001,0.19,0.9880000000000002,1.4819999999999998,0.666666666666667
22442,GROW YOUR OWN FLOWERS SET OF 3,261,3.8099999999999996,2.5400000000000005,6.3500000000000005,662.9400000000002,994.4099999999999,0.666666666666667
22164,STRING OF STARS CARD HOLDER,65,1.7699999999999998,1.1800000000000002,2.95,76.70000000000002,115.04999999999998,0.666666666666667
21259,VICTORIAN SEWING BOX SMALL ,1019,3.5635113122171944,2.375674208144797,5.939185520361991,2420.8120180995484,3631.218027149321,0.666666666666667
22440,BALLOON WATER BOMB PACK OF 35,5517,0.25037593984962403,0.16691729323308274,0.41729323308270677,920.8827067669175,1381.3240601503758,0.666666666666667
20823,GOLD WINE GOBLET,164,0.474,0.31600000000000006,0.79,51.82400000000001,77.73599999999999,0.666666666666667
84661C,PINK SQUARE TABLE CLOCK,62,0.8963999999999999,0.5976000000000001,1.494,37.05120000000001,55.57679999999999,0.666666666666667
47593B,SCOTTIE DOGS BABY BIB,895,0.3014823529411764,0.2009882352941177,0.5024705882352941,179.88447058823533,269.8267058823529,0.666666666666667
22554,PLASTERS IN TIN WOODLAND ANIMALS,2171,0.9950332480818412,0.6633554987212277,1.658388746803069,1440.1447877237854,2160.2171815856773,0.666666666666667
37444C,PINK BREAKFAST CUP AND SAUCER ,13,0.4534285714285714,0.3022857142857144,0.7557142857142857,3.929714285714287,5.894571428571428,0.666666666666667
22623,BOX OF VINTAGE JIGSAW BLOCKS ,656,3.5291368421052627,2.3527578947368424,5.881894736842105,1543.4091789473687,2315.113768421052,0.666666666666667
22636,CHILDS BREAKFAST SET CIRCUS PARADE,335,5.076279069767441,3.3841860465116285,8.460465116279071,1133.7023255813956,1700.5534883720927,0.666666666666667
17013D,ORIGAMI ROSE INCENSE IN TUBE,532,0.5203636363636363,0.34690909090909094,0.8672727272727272,184.55563636363638,276.83345454545446,0.666666666666667
22833,HALL CABINET WITH 3 DRAWERS,75,27.381,18.254000000000005,45.635000000000005,1369.0500000000004,2053.575,0.666666666666667
22899,CHILDREN'S APRON DOLLY GIRL ,972,1.2882439024390242,0.858829268292683,2.1470731707317077,834.7820487804879,1252.1730731707314,0.666666666666667
